Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-17737,5/9/16,11:35 PM,May,Monday,VANDALISM NP,619 N WASHINGTON ST,LB213,BPD,REPORT NEEDED
B16-17833,5/10/16,6:07 PM,May,Tuesday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-17847,5/10/16,7:36 PM,May,Tuesday,DISTURBANCE IP,301 S WALNUT ST;TRANSIT,LB104,BPD,NO REPORT NEEDED
B16-17782,5/10/16,10:47 AM,May,Tuesday,DISTURBANCE IP,535 S WALNUT ST; ARBYS SOUTH,LB301,BPD,NO REPORT NEEDED
B16-17751,5/10/16,2:20 AM,May,Tuesday,DISTURBANCE IP,645 N COLLEGE AVE,LB519,BPD,REPORT NEEDED
B16-17788,5/10/16,12:32 PM,May,Tuesday,DRUNK,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT NEEDED
B16-17826,5/10/16,5:06 PM,May,Tuesday,DRUNK,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-17748,5/10/16,1:26 AM,May,Tuesday,DRUNK,599 E GRAHAM PL,LB327,BPD,REPORT NEEDED
B16-17857,5/10/16,8:53 PM,May,Tuesday,NOISE,200 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-17759,5/10/16,2:42 AM,May,Tuesday,NOISE,320 N LINCOLN ST,LB102,BPD,NO REPORT NEEDED
B16-17743,5/10/16,12:02 AM,May,Tuesday,NOISE,455 N COLLEGE AVE; SMALLWOOD PLAZA; CP'S APT  7032,LB101,BPD,NO REPORT NEEDED
B16-17750,5/10/16,1:40 AM,May,Tuesday,NOISE,518 S SWAIN AVE,LB303,BPD,NO REPORT NEEDED
B16-17867,5/10/16,10:37 PM,May,Tuesday,NOISE,523 N LINCOLN ST; APT 21,LB102,BPD,NO REPORT NEEDED
B16-17772,5/10/16,8:48 AM,May,Tuesday,PANHANDLING,100 E KIRKWOOD AVE; TROJAN HORSE,LB104,BPD,NO REPORT NEEDED
B16-17805,5/10/16,2:44 PM,May,Tuesday,PANHANDLING,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,NO REPORT NEEDED
B16-17798,5/10/16,1:24 PM,May,Tuesday,VANDALISM NP,416 N GRANT ST,LB102,BPD,REPORT NEEDED
B16-17900,5/11/16,7:41 AM,May,Wednesday,DISTURBANCE IP,587 E GRAHAM PL,LB327,BPD,NO REPORT NEEDED
B16-17950,5/11/16,3:08 PM,May,Wednesday,DRUNK,115 E 2ND ST,LB104,BPD,NO REPORT NEEDED
B16-17921,5/11/16,11:43 AM,May,Wednesday,DRUNK,BS E HILLSIDE DR\S PARK AVE,LB313,BPD,REPORT NEEDED
B16-17990,5/11/16,5:56 PM,May,Wednesday,NOISE,2504 S ROGERS ST,LB423,BPD,NO REPORT NEEDED
B16-17882,5/11/16,2:10 AM,May,Wednesday,NOISE,2530 E EASTGATE LN,LB222,BPD,NO REPORT NEEDED
B16-17943,5/11/16,1:46 PM,May,Wednesday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-17930,5/11/16,12:32 PM,May,Wednesday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-17879,5/11/16,1:38 AM,May,Wednesday,NOISE,3044 E AMY LN,LB221,BPD,NO REPORT NEEDED
B16-17967,5/11/16,4:06 PM,May,Wednesday,NOISE,N LINCOLN ST & E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-18005,5/11/16,8:10 PM,May,Wednesday,PANHANDLING,E MOORES PIKE & S SMITH RD,LB320,BPD,NO REPORT NEEDED
B16-17920,5/11/16,10:12 AM,May,Wednesday,VANDALISM NP,308 W RILEY DR,LB512,BPD,REPORT NEEDED
B16-18125,5/12/16,6:41 PM,May,Thursday,DISTURBANCE IP,1000 S ROGERS ST,LB412,BPD,REPORT NEEDED
B16-18097,5/12/16,3:29 PM,May,Thursday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-18052,5/12/16,8:18 AM,May,Thursday,DISTURBANCE IP,1305 W 13TH ST,LB517,BPD,REPORT NEEDED
B16-18124,5/12/16,6:36 PM,May,Thursday,DISTURBANCE IP,1440 N WOODBURN AVE; APT 21,LB512,BPD,REPORT NEEDED
B16-18112,5/12/16,5:37 PM,May,Thursday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1602,LB424,BPD,NO REPORT NEEDED
B16-18030,5/12/16,1:27 AM,May,Thursday,DISTURBANCE IP,2819 E 3RD ST; MCDONALDS EAST,LB221,BPD,NO REPORT NEEDED
B16-18113,5/12/16,5:42 PM,May,Thursday,DISTURBANCE IP,301 S WALNUT ST ; BLOOMINGTON TRANSIT,LB104,BPD,NO REPORT NEEDED
B16-18033,5/12/16,2:09 AM,May,Thursday,DISTURBANCE IP,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT NEEDED
B16-18053,5/12/16,8:45 AM,May,Thursday,DISTURBANCE IP,S HENDERSON ST & E HILLSIDE DR,LB314,BPD,NO REPORT NEEDED
B16-18073,5/12/16,12:47 PM,May,Thursday,DRUNK,430 S WASHINGTON ST; GOLD CASTERS,LB104,BPD,NO REPORT NEEDED
B16-18145,5/12/16,10:55 PM,May,Thursday,NOISE,324 E 2ND ST; HISTORIC 324 E 2ND ST HOUSE,LB301,BPD,NO REPORT NEEDED
B16-18158,5/12/16,11:44 PM,May,Thursday,NOISE,422 S GRANT ST,LB104,BPD,NO REPORT NEEDED
B16-18026,5/12/16,12:17 AM,May,Thursday,NOISE,454 S WESTPLEX AVE; APT 108,LB406,BPD,NO REPORT NEEDED
B16-18080,5/12/16,12:08 PM,May,Thursday,NOISE,900 S FESS AVE,LB313,BPD,NO REPORT NEEDED
B16-18098,5/12/16,3:25 PM,May,Thursday,VANDALISM NP,1413 W 11TH ST,LB517,BPD,NO REPORT NEEDED
B16-18087,5/12/16,11:45 AM,May,Thursday,VANDALISM NP,1825 N KINSER PIKE; MARSH SUPERMARKET NORTH,LB510,BPD,REPORT NEEDED
B16-18267,5/13/16,6:39 PM,May,Friday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,REPORT NEEDED
B16-18243,5/13/16,3:16 PM,May,Friday,DISTURBANCE IP,2304 S WINSLOW CT; HENDERSON COURT; BLDG 2,LB326,BPD,NO REPORT NEEDED
B16-18172,5/13/16,1:24 AM,May,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-18284,5/13/16,8:41 PM,May,Friday,DISTURBANCE IP,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,NO REPORT NEEDED
B16-18276,5/13/16,8:02 PM,May,Friday,DRUNK,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,NO REPORT NEEDED
B16-18183,5/13/16,3:17 AM,May,Friday,NOISE,120 S BRYAN AVE,LB222,BPD,NO REPORT NEEDED
B16-18278,5/13/16,7:46 PM,May,Friday,NOISE,2520 S ROCKPORT RD; APT 105 IN 2ND BLDG,LB424,BPD,NO REPORT NEEDED
B16-18175,5/13/16,1:41 AM,May,Friday,NOISE,2549 E EASTGATE LN,LB222,BPD,NO REPORT NEEDED
B16-18266,5/13/16,5:33 PM,May,Friday,NOISE,3100 S WALNUT STREET PIKE; BLDG B,LB336,BPD,NO REPORT NEEDED
B16-18318,5/13/16,11:32 PM,May,Friday,NOISE,3557 S OAKLAWN CIR,LB331,BPD,NO REPORT NEEDED
B16-18303,5/13/16,10:10 PM,May,Friday,NOISE,602 N MORTON ST; APT 302,LB519,BPD,NO REPORT NEEDED
B16-18168,5/13/16,12:09 AM,May,Friday,NOISE,630 N MORTON ST,LB519,BPD,NO REPORT NEEDED
B16-18169,5/13/16,12:19 AM,May,Friday,NOISE,792 N WOODBRIDGE DR,LB216,BPD,NO REPORT NEEDED
B16-18165,5/13/16,12:08 AM,May,Friday,NOISE,N GRANT ST & E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-18317,5/13/16,11:33 PM,May,Friday,NOISE,S FESS AVE & E ATWATER AVE,LIU14,BPD,NO REPORT NEEDED
B16-18184,5/13/16,3:22 AM,May,Friday,VANDALISM IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-18290,5/13/16,9:04 PM,May,Friday,VANDALISM NP,528 S BASSWOOD DR; APT L,LB404,BPD,REPORT NEEDED
B16-18406,5/14/16,7:06 PM,May,Saturday,ALCOHOL RELATED,2401 W 3RD ST; BIG RED LIQUORS 2401 W 3RD ST,LB404,BPD,REPORT NEEDED
B16-18402,5/14/16,6:00 PM,May,Saturday,DISTURBANCE IP,1220 N ARLINGTON PARK DR; APT 104,LB514,BPD,NO REPORT NEEDED
B16-18344,5/14/16,4:31 AM,May,Saturday,DISTURBANCE IP,1417 W ILLINOIS CT,LB517,BPD,NO REPORT NEEDED
B16-18351,5/14/16,8:22 AM,May,Saturday,DISTURBANCE IP,2306 W 3RD ST; BEEHIVE HOMES,LB522,BPD,REPORT NEEDED
B16-18411,5/14/16,8:46 PM,May,Saturday,DISTURBANCE NP,2036 N WALNUT ST; APT 1B,LB212,BPD,NO REPORT NEEDED
B16-18336,5/14/16,3:03 AM,May,Saturday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-18439,5/14/16,11:11 PM,May,Saturday,NOISE,1415 W ILLINOIS CT,LB517,BPD,NO REPORT NEEDED
B16-18420,5/14/16,9:20 PM,May,Saturday,NOISE,3212 S SOUTHERN OAKS CT,LB331,BPD,NO REPORT NEEDED
B16-18444,5/14/16,11:17 PM,May,Saturday,NOISE,331 S WALNUT ST; RHINOS ALL AGE MUSIC CLUB,LB104,BPD,NO REPORT NEEDED
B16-18337,5/14/16,3:16 AM,May,Saturday,NOISE,3811 E MCCRACKEN WAY,LB220,BPD,NO REPORT NEEDED
B16-18327,5/14/16,12:57 AM,May,Saturday,NOISE,825 E EMINENCE WAY,LB316,BPD,NO REPORT NEEDED
B16-18451,5/14/16,11:46 PM,May,Saturday,NOISE,920 N JACKSON ST,LB518,BPD,NO REPORT NEEDED
B16-18408,5/14/16,8:16 PM,May,Saturday,NOISE,N ROGERS ST & W 15TH ST,LB518,BPD,NO REPORT NEEDED
B16-18407,5/14/16,7:33 PM,May,Saturday,PANHANDLING,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-18376,5/14/16,1:31 PM,May,Saturday,PANHANDLING,E MOORES PIKE & S SMITH RD,LB320,BPD,NO REPORT NEEDED
B16-18410,5/14/16,8:44 PM,May,Saturday,VANDALISM IP,1300 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-18385,5/14/16,3:22 PM,May,Saturday,VANDALISM NP,528 S BASSWOOD DR; APT L,LB404,BPD,REPORT NEEDED
B16-18474,5/15/16,3:24 AM,May,Sunday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-18478,5/15/16,4:58 AM,May,Sunday,DISTURBANCE IP,946 S MAXWELL TER; APT F,LB312,BPD,NO REPORT NEEDED
B16-18531,5/15/16,6:44 PM,May,Sunday,DRUNK,2851 N OLD STATE ROAD 37,LB506,BPD,NO REPORT NEEDED
B16-18536,5/15/16,9:20 PM,May,Sunday,DRUNK,919 S ROGERS ST; FRIENDS PLACE,LB412,BPD,NO REPORT NEEDED
B16-18500,5/15/16,1:22 PM,May,Sunday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT NEEDED
B16-18547,5/15/16,11:13 PM,May,Sunday,NOISE,3100 S WALNUT STREET PIKE; A17,LB336,BPD,NO REPORT NEEDED
B16-18471,5/15/16,2:42 AM,May,Sunday,NOISE,3105 E STRATUM WAY; APT 1,LB310,BPD,NO REPORT NEEDED
B16-18596,5/16/16,12:47 PM,May,Monday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-18622,5/16/16,5:43 PM,May,Monday,DISTURBANCE IP,730 W 2ND ST; PHARMACY 1 EXPRESS,LB409,BPD,REPORT NEEDED
B16-18650,5/16/16,10:14 PM,May,Monday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-18649,5/16/16,9:01 PM,May,Monday,NOISE,114 S GRANT ST,LB104,BPD,NO REPORT NEEDED
B16-18639,5/16/16,7:38 PM,May,Monday,NOISE,3330 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-18555,5/16/16,12:29 AM,May,Monday,NOISE,814 S EASTSIDE DR,LB303,BPD,NO REPORT NEEDED
B16-18562,5/16/16,3:11 AM,May,Monday,VANDALISM IP,317 E WINSLOW RD; AVERS PIZZA SOUTH,LB326,BPD,REPORT NEEDED
B16-18594,5/16/16,11:36 AM,May,Monday,VANDALISM NP,306 S UNION ST,LB303,BPD,NO REPORT NEEDED
B16-18730,5/17/16,3:00 PM,May,Tuesday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-18662,5/17/16,12:20 AM,May,Tuesday,DISTURBANCE IP,550 S WALNUT ST; RALLYS,LB410,BPD,NO REPORT NEEDED
B16-18772,5/17/16,9:51 PM,May,Tuesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL; RM 8,LB409,BPD,NO REPORT NEEDED
B16-18667,5/17/16,1:52 AM,May,Tuesday,DRUNK,1701 E 2ND ST; UNITED PRESBYTERIAN CHURCH,LB303,BPD,REPORT NEEDED
B16-18768,5/17/16,9:00 PM,May,Tuesday,DRUNK,2401 W 3RD ST; BIG RED LIQUORS 2401 W 3RD ST,LB404,BPD,NO REPORT NEEDED
B16-18692,5/17/16,10:50 AM,May,Tuesday,DRUNK,S COLLEGE AVE & W 4TH ST,LB103,BPD,NO REPORT NEEDED
B16-18672,5/17/16,3:55 AM,May,Tuesday,NOISE,1453 S WEATHERSTONE LN,LB313,BPD,NO REPORT NEEDED
B16-18779,5/17/16,10:01 PM,May,Tuesday,NOISE,3100 S WALNUT STREET PIKE; APT A80,LB336,BPD,NO REPORT NEEDED
B16-18765,5/17/16,8:32 PM,May,Tuesday,NOISE,915 N ROGERS ST;BLDG A APT 4,LB518,BPD,NO REPORT NEEDED
B16-18732,5/17/16,2:33 PM,May,Tuesday,VANDALISM NP,1410 W 12TH ST,LB517,BPD,REPORT NEEDED
B16-18759,5/17/16,7:06 PM,May,Tuesday,VANDALISM NP,3100 W SUSAN DR; MC SPORTS,LB524,BPD,REPORT NEEDED
B16-18764,5/17/16,8:40 PM,May,Tuesday,VANDALISM NP,3115 E STRATUM WAY; APT 22,LB310,BPD,REPORT NEEDED
B16-18703,5/17/16,11:59 AM,May,Tuesday,VANDALISM NP,520 S PARK RIDGE RD; APT 2203,LB307,BPD,REPORT NEEDED
B16-18739,5/17/16,4:09 PM,May,Tuesday,VANDALISM NP,S HENDERSON ST & E 2ND ST,LB302,BPD,REPORT NEEDED
B16-18899,5/18/16,5:35 PM,May,Wednesday,DISTURBANCE IP,1440 N WOODBURN AVE; APT 24,LB512,BPD,NO REPORT NEEDED
B16-18804,5/18/16,3:16 AM,May,Wednesday,DISTURBANCE IP,2431 S BROADVIEW DR,LB423,BPD,NO REPORT NEEDED
B16-18897,5/18/16,5:30 PM,May,Wednesday,DISTURBANCE IP,3405 E WINSTON ST,LB319,BPD,REPORT NEEDED
B16-18915,5/18/16,7:56 PM,May,Wednesday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-18826,5/18/16,8:40 AM,May,Wednesday,DISTURBANCE IP,S WALNUT ST & E WINSLOW RD,LB422,BPD,NO REPORT NEEDED
B16-18853,5/18/16,11:59 AM,May,Wednesday,DISTURBANCE NP,1890 S WALNUT ST; APT 18,LB421,BPD,NO REPORT NEEDED
B16-18873,5/18/16,1:59 PM,May,Wednesday,DISTURBANCE NP,1921 S WALNUT ST; STARBUCKS SOUTH,LB315,BPD,NO REPORT NEEDED
B16-18933,5/18/16,10:40 PM,May,Wednesday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-18797,5/18/16,1:11 AM,May,Wednesday,NOISE,2549 E EASTGATE LN; APT 304,LB222,BPD,NO REPORT NEEDED
B16-18849,5/18/16,10:54 AM,May,Wednesday,NOISE,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT NEEDED
B16-18885,5/18/16,3:15 PM,May,Wednesday,PANHANDLING,1835 N KINSER PIKE; FANTASTIC SAMS,LB510,BPD,NO REPORT NEEDED
B16-18817,5/18/16,7:18 AM,May,Wednesday,VANDALISM NP,111 N LINCOLN ST,LB102,BPD,REPORT NEEDED
B16-18868,5/18/16,1:11 PM,May,Wednesday,VANDALISM NP,1410 W 12TH ST,LB517,BPD,REPORT NEEDED
B16-18791,5/18/16,12:34 AM,May,Wednesday,VANDALISM NP,420 S VILLAGE CT,LB402,BPD,REPORT NEEDED
B16-18845,5/18/16,10:56 AM,May,Wednesday,VANDALISM NP,619 S LINCOLN ST; BPD LOBBY,LB301,BPD,NO REPORT NEEDED
B16-19032,5/19/16,4:03 PM,May,Thursday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-18990,5/19/16,10:20 AM,May,Thursday,DISTURBANCE IP,113 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-19005,5/19/16,12:59 PM,May,Thursday,DISTURBANCE IP,117 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-19059,5/19/16,6:56 PM,May,Thursday,DISTURBANCE IP,1201 W ALLEN ST; HILLTOP APARTMENTS,LB413,BPD,NO REPORT NEEDED
B16-18952,5/19/16,2:36 AM,May,Thursday,DISTURBANCE IP,1209 W 12TH ST,LB517,BPD,REPORT NEEDED
B16-19082,5/19/16,8:57 PM,May,Thursday,DISTURBANCE IP,1222 N ARLINGTON PARK DR,LB514,BPD,REPORT NEEDED
B16-19019,5/19/16,2:16 PM,May,Thursday,DISTURBANCE IP,1319 W 13TH ST,LB517,BPD,NO REPORT NEEDED
B16-19088,5/19/16,10:02 PM,May,Thursday,DISTURBANCE IP,2226 S ROGERS ST; APT 519,LB423,BPD,NO REPORT NEEDED
B16-19089,5/19/16,10:19 PM,May,Thursday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-18945,5/19/16,1:31 AM,May,Thursday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-19020,5/19/16,2:28 PM,May,Thursday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-19046,5/19/16,5:32 PM,May,Thursday,DRUNK,122 E 6TH ST; SPRAY TAN BAR,LB102,BPD,NO REPORT NEEDED
B16-19092,5/19/16,10:31 PM,May,Thursday,DRUNK,3021 E 3RD ST; SPEEDWAY EAST,LB221,BPD,NO REPORT NEEDED
B16-19079,5/19/16,8:30 PM,May,Thursday,NOISE,2036 N WALNUT ST; APT 2C,LB212,BPD,NO REPORT NEEDED
B16-19093,5/19/16,10:34 PM,May,Thursday,NOISE,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT NEEDED
B16-18956,5/19/16,3:33 AM,May,Thursday,NOISE,750 S WALKER ST; LOT 41,LB409,BPD,NO REPORT NEEDED
B16-18947,5/19/16,1:47 AM,May,Thursday,NOISE,908 S WASHINGTON ST; ARIEL APARTMENTS; APT 8,LB314,BPD,NO REPORT NEEDED
B16-19186,5/20/16,4:55 PM,May,Friday,ALCOHOL RELATED,3750 W 3RD ST; BURGER KING WEST,LB524,BPD,NO REPORT NEEDED
B16-19161,5/20/16,2:31 PM,May,Friday,DISTURBANCE IP,4412 E ELOUISE AVE,LB219,BPD,REPORT NEEDED
B16-19099,5/20/16,12:03 AM,May,Friday,DISTURBANCE NP,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT NEEDED
B16-19142,5/20/16,11:23 AM,May,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-19114,5/20/16,2:56 AM,May,Friday,DRUNK,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT NEEDED
B16-19106,5/20/16,1:33 AM,May,Friday,DRUNK,W 3RD ST & S HICKORY DR,LB524,BPD,NO REPORT NEEDED
B16-19112,5/20/16,1:32 AM,May,Friday,NOISE,1150 S CLARIZZ BLVD; APT U381,LB310,BPD,NO REPORT NEEDED
B16-19223,5/20/16,10:37 PM,May,Friday,NOISE,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-19113,5/20/16,2:37 AM,May,Friday,NOISE,2353 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-19222,5/20/16,10:23 PM,May,Friday,NOISE,315 E BROWNSTONE DR,LB213,BPD,NO REPORT NEEDED
B16-19101,5/20/16,12:30 AM,May,Friday,NOISE,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT NEEDED
B16-19116,5/20/16,4:12 AM,May,Friday,NOISE,703 W GOURLEY PIKE,LB513,BPD,NO REPORT NEEDED
B16-19242,5/20/16,11:18 PM,May,Friday,NOISE,864 S BASSWOOD DR,LB415,BPD,NO REPORT NEEDED
B16-19138,5/20/16,10:41 AM,May,Friday,PANHANDLING,411 S WOODSCREST DR; EASTLAND PLAZA,LB304,BPD,NO REPORT NEEDED
B16-19185,5/20/16,4:39 PM,May,Friday,PANHANDLING,MOORES PIKE & SMITH RD,LB320,BPD,NO REPORT NEEDED
B16-19165,5/20/16,3:09 PM,May,Friday,PANHANDLING,S STATE ROAD 37 & W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-19210,5/20/16,7:59 PM,May,Friday,VANDALISM NP,907 N SUMMIT ST,LB517,BPD,NO REPORT NEEDED
B16-19321,5/21/16,6:03 PM,May,Saturday,ALCOHOL RELATED,3500 N DUNN ST; LAKE GRIFFY DAM,LB202,BPD,NO REPORT NEEDED
B16-19259,5/21/16,5:27 AM,May,Saturday,DISTURBANCE IP,1280 S FENBROOK LN,LB309,BPD,NO REPORT NEEDED
B16-19245,5/21/16,12:45 AM,May,Saturday,DISTURBANCE IP,2349 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B16-19263,5/21/16,8:30 AM,May,Saturday,DISTURBANCE IP,2383 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-19311,5/21/16,5:22 PM,May,Saturday,DISTURBANCE IP,3203 E MOORES PIKE; AUTUMN HILLS,LB310,BPD,NO REPORT NEEDED
B16-19289,5/21/16,3:27 PM,May,Saturday,DISTURBANCE IP,S CLARIZZ BLVD & E COVENANTER DR,LB310,BPD,NO REPORT NEEDED
B16-19241,5/21/16,12:07 AM,May,Saturday,DRUNK,114 S INDIANA AVE; BUFFALOUIES,LB104,BPD,NO REPORT NEEDED
B16-19253,5/21/16,2:20 AM,May,Saturday,DRUNK,2250 E POINTE RD; EAGLE POINT GOLF RESORT,LMS02,BPD,NO REPORT NEEDED
B16-19363,5/21/16,11:03 PM,May,Saturday,DRUNK,2304 S WINSLOW CT; HENDERSON COURT,LB326,BPD,REPORT NEEDED
B16-19364,5/21/16,10:48 PM,May,Saturday,NOISE,200 S MADISON ST; BICYCLE APARTMENTS,LB103,BPD,NO REPORT NEEDED
B16-19340,5/21/16,8:27 PM,May,Saturday,NOISE,2036 N WALNUT ST; APT 2C,LB212,BPD,NO REPORT NEEDED
B16-19374,5/21/16,11:52 PM,May,Saturday,NOISE,511 N LINCOLN ST,LB102,BPD,NO REPORT NEEDED
B16-19348,5/21/16,9:13 PM,May,Saturday,NOISE,812 W 9TH ST,LB520,BPD,NO REPORT NEEDED
B16-19257,5/21/16,4:53 AM,May,Saturday,NOISE,817 S HENDERSON ST,LB302,BPD,NO REPORT NEEDED
B16-19349,5/21/16,9:37 PM,May,Saturday,VANDALISM IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B16-19381,5/22/16,2:26 AM,May,Sunday,DISTURBANCE IP,1717 W 3RD ST; DCS OFFICE,LB405,BPD,REPORT NEEDED
B16-19477,5/22/16,10:01 PM,May,Sunday,DISTURBANCE IP,3200 E LONGVIEW AVE; APT 54,LB221,BPD,NO REPORT NEEDED
B16-19482,5/22/16,10:54 PM,May,Sunday,DISTURBANCE IP,3233 W JACOB DR; WHITE CASTLE,LB524,BPD,NO REPORT NEEDED
B16-19441,5/22/16,1:58 PM,May,Sunday,DISTURBANCE IP,W 11TH ST & N ROGERS ST,LB518,BPD,NO REPORT NEEDED
B16-19445,5/22/16,3:08 PM,May,Sunday,DRUNK,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,NO REPORT NEEDED
B16-19378,5/22/16,12:49 AM,May,Sunday,DRUNK,503 W KIRKWOOD AVE; CIRCLE K KIRKWOOD AND ROGERS,LB408,BPD,NO REPORT NEEDED
B16-19485,5/22/16,11:22 PM,May,Sunday,NOISE,1013 N COLLEGE AVE; COLLEGE ADULT BOOKS,LB519,BPD,NO REPORT NEEDED
B16-19486,5/22/16,11:25 PM,May,Sunday,NOISE,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-19424,5/22/16,11:49 AM,May,Sunday,NOISE,1421 W ALLEN ST,LB413,BPD,NO REPORT NEEDED
B16-19466,5/22/16,7:09 PM,May,Sunday,NOISE,1820 S HUNTINGTON GARDENS PL,LB316,BPD,NO REPORT NEEDED
B16-19383,5/22/16,2:35 AM,May,Sunday,NOISE,2679 E 7TH ST; PARK DORAL,LB221,BPD,NO REPORT NEEDED
B16-19387,5/22/16,3:46 AM,May,Sunday,NOISE,501 S MULLER PKWY,LB404,BPD,NO REPORT NEEDED
B16-19380,5/22/16,1:41 AM,May,Sunday,NOISE,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-19394,5/22/16,7:10 AM,May,Sunday,NOISE,S HENDERSON ST & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-19420,5/22/16,11:34 AM,May,Sunday,PANHANDLING,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-19443,5/22/16,2:20 PM,May,Sunday,VANDALISM NP,3200 E LONGVIEW AVE,LB221,BPD,NO REPORT NEEDED
B16-19583,5/23/16,4:22 PM,May,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-19560,5/23/16,1:52 PM,May,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-19554,5/23/16,12:56 PM,May,Monday,DISTURBANCE IP,2365 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-19494,5/23/16,1:39 AM,May,Monday,DISTURBANCE IP,2492 S BURBERRY LN,LB326,BPD,NO REPORT NEEDED
B16-19623,5/23/16,8:58 PM,May,Monday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
