Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-28169,7/22/16,6:39 PM,July,Friday,DRUNK,424 S WALNUT ST; PLAYERS PUB,LB103,BPD,NO REPORT NEEDED
B16-28168,7/22/16,6:32 PM,July,Friday,DRUNK,106 E 2ND ST; SAHARA MART,LB301,BPD,REPORT NEEDED
B16-27823,7/20/16,2:39 PM,July,Wednesday,DRUNK,2966 E 3RD ST; TARGET,LB305,BPD,NO REPORT NEEDED
B16-27748,7/20/16,12:01 AM,July,Wednesday,DRUNK,504 S BASSWOOD DR,LB404,BPD,NO REPORT NEEDED
B16-27722,7/19/16,10:07 PM,July,Tuesday,DRUNK,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,NO REPORT NEEDED
B16-27712,7/19/16,8:51 PM,July,Tuesday,DRUNK,342 S WASHINGTON ST,LB104,BPD,REPORT NEEDED
B16-27704,7/19/16,7:50 PM,July,Tuesday,DRUNK,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-27609,7/19/16,3:24 AM,July,Tuesday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-27410,7/17/16,7:36 PM,July,Sunday,DRUNK,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B16-27346,7/17/16,3:10 AM,July,Sunday,DRUNK,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-27345,7/17/16,3:01 AM,July,Sunday,DRUNK,S WALNUT ST & E DRISCOLL DR,LB411,BPD,NO REPORT NEEDED
B16-27325,7/17/16,12:16 AM,July,Sunday,DRUNK,1800 N WALNUT ST; MOTEL 6;ROOM 238,LB212,BPD,NO REPORT NEEDED
B16-27207,7/16/16,4:14 AM,July,Saturday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-27177,7/16/16,12:04 AM,July,Saturday,DRUNK,2411 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-27022,7/15/16,3:33 AM,July,Friday,DRUNK,800 N MORTON ST,LB519,BPD,NO REPORT NEEDED
B16-27021,7/15/16,3:28 AM,July,Friday,DRUNK,501 N COLLEGE AVE,LB101,BPD,REPORT NEEDED
B16-27020,7/15/16,3:11 AM,July,Friday,DRUNK,101 N WALNUT ST,LB102,BPD,NO REPORT NEEDED
B16-26975,7/14/16,11:11 PM,July,Thursday,DRUNK,2403 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-26947,7/14/16,9:04 PM,July,Thursday,DRUNK,S ROGERS ST & W 1ST ST,LB409,BPD,NO REPORT NEEDED
B16-26842,7/14/16,1:09 AM,July,Thursday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-26812,7/13/16,10:30 PM,July,Wednesday,DRUNK,S COLLEGE AVE & W 4TH ST,LB103,BPD,NO REPORT NEEDED
B16-26800,7/13/16,9:48 PM,July,Wednesday,DRUNK,2325 S ROCKPORT RD,LB423,BPD,REPORT NEEDED
B16-26690,7/13/16,1:50 AM,July,Wednesday,DRUNK,3900 E 3RD ST; OFFICE LOUNGE,LB307,BPD,NO REPORT NEEDED
B16-26681,7/13/16,12:08 AM,July,Wednesday,DRUNK,217 W KIRKWOOD AVE; HYATT PLACE HOTEL,LB103,BPD,NO REPORT NEEDED
B16-26678,7/12/16,11:47 PM,July,Tuesday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-26496,7/11/16,8:53 PM,July,Monday,DRUNK,1001 S HENDERSON ST; BRYAN PARK; BRYAN PARK PLAYGROUND,LB313,BPD,NO REPORT NEEDED
B16-26410,7/11/16,3:56 AM,July,Monday,DRUNK,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,NO REPORT NEEDED
B16-26371,7/10/16,8:33 PM,July,Sunday,DRUNK,211 S KIMBLE DR,LB523,BPD,NO REPORT NEEDED
B16-26286,7/10/16,3:21 AM,July,Sunday,DRUNK,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-26151,7/9/16,1:07 AM,July,Saturday,DRUNK,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-26134,7/8/16,11:00 PM,July,Friday,DRUNK,123 S WALNUT ST;THE COMEDY ATTIC,LB104,BPD,NO REPORT NEEDED
B16-25997,7/7/16,10:32 PM,July,Thursday,DRUNK,3800 W 3RD ST,LB524,BPD,NO REPORT NEEDED
B16-25986,7/7/16,9:08 PM,July,Thursday,DRUNK,302 N WALNUT ST; SCOTTYS BREWHOUSE,LB102,BPD,NO REPORT NEEDED
B16-25928,7/7/16,12:18 PM,July,Thursday,DRUNK,BLT 64 MARKER DODDS-1ST; Between W 1st St and W Dodds St,LB410,BPD,NO REPORT NEEDED
B16-25592,7/5/16,1:41 AM,July,Tuesday,DRUNK,826 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-25363,7/3/16,1:05 AM,July,Sunday,DRUNK,115 E 8TH ST,LB102,BPD,REPORT NEEDED
B16-25359,7/3/16,12:31 AM,July,Sunday,DRUNK,115 E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-25341,7/2/16,10:28 PM,July,Saturday,DRUNK,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,NO REPORT NEEDED
B16-25277,7/2/16,12:37 PM,July,Saturday,DRUNK,2400 S HENDERSON ST,LB327,BPD,NO REPORT NEEDED
B16-25229,7/2/16,1:36 AM,July,Saturday,DRUNK,703 W GOURLEY PIKE; APT 41,LB513,BPD,REPORT NEEDED
B16-25228,7/2/16,1:21 AM,July,Saturday,DRUNK,2101 S LIBERTY DR; STEAK N SHAKE SOUTHWEST,LB416,BPD,NO REPORT NEEDED
B16-25200,7/1/16,10:07 PM,July,Friday,DRUNK,S WALNUT ST & E 2ND ST,LB103,BPD,NO REPORT NEEDED
B16-39220,9/30/16,11:46 PM,September,Friday,NOISE,515 N GRANT ST; STONE CHURCH APARTMENTS,LB102,BPD,NO REPORT NEEDED
B16-39218,9/30/16,11:43 PM,September,Friday,NOISE,313 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-39219,9/30/16,11:37 PM,September,Friday,NOISE,2675 E 7TH ST; APT I,LB221,BPD,NO REPORT NEEDED
B16-39215,9/30/16,11:25 PM,September,Friday,NOISE,E 19TH ST & N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-39216,9/30/16,11:18 PM,September,Friday,NOISE,545 S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-39209,9/30/16,11:12 PM,September,Friday,NOISE,313 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-39212,9/30/16,11:11 PM,September,Friday,NOISE,1391 W 3RD ST; apt 32105,LB406,BPD,NO REPORT NEEDED
B16-39211,9/30/16,11:10 PM,September,Friday,NOISE,2307 E 2ND ST; APT 19,LB304,BPD,NO REPORT NEEDED
B16-39204,9/30/16,10:37 PM,September,Friday,NOISE,1333 N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-39089,9/30/16,2:49 AM,September,Friday,NOISE,714 E HUNTER AVE,LB302,BPD,NO REPORT NEEDED
B16-39087,9/30/16,1:57 AM,September,Friday,NOISE,417 N GRANT ST; APT 24,LB102,BPD,NO REPORT NEEDED
B16-39086,9/30/16,1:12 AM,September,Friday,NOISE,1104 S WASHINGTON ST,LB314,BPD,NO REPORT NEEDED
B16-39075,9/29/16,11:35 PM,September,Thursday,NOISE,701 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-39074,9/29/16,11:33 PM,September,Thursday,NOISE,345 S COLLEGE AVE ; APT 401,LB103,BPD,NO REPORT NEEDED
B16-39073,9/29/16,11:08 PM,September,Thursday,NOISE,104 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-39068,9/29/16,9:55 PM,September,Thursday,NOISE,521 S PARK AVE,LB302,BPD,NO REPORT NEEDED
B16-38961,9/29/16,4:33 AM,September,Thursday,NOISE,1600 N WILLIS DR; LOT 14,LB513,BPD,NO REPORT NEEDED
B16-38948,9/29/16,12:01 AM,September,Thursday,NOISE,1730 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-38941,9/28/16,11:12 PM,September,Wednesday,NOISE,619 W HOWE ST,LB409,BPD,NO REPORT NEEDED
B16-38945,9/28/16,11:12 PM,September,Wednesday,NOISE,421 E 19TH ST; APT 5,LB212,BPD,NO REPORT NEEDED
B16-38823,9/28/16,1:54 AM,September,Wednesday,NOISE,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,NO REPORT NEEDED
B16-38809,9/27/16,10:36 PM,September,Tuesday,NOISE,4225 E STEPHENS DR,LB218,BPD,NO REPORT NEEDED
B16-38697,9/27/16,1:53 AM,September,Tuesday,NOISE,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT NEEDED
B16-38689,9/27/16,12:08 AM,September,Tuesday,NOISE,3115 E STRATUM WAY,LB310,BPD,NO REPORT NEEDED
B16-38551,9/26/16,4:36 AM,September,Monday,NOISE,1722 N WALNUT ST; AMERICAS BEST VALUE INN room 225,LB212,BPD,NO REPORT NEEDED
B16-38535,9/25/16,9:48 PM,September,Sunday,NOISE,1732 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-38498,9/25/16,5:18 PM,September,Sunday,NOISE,200 E 17TH ST,LB213,BPD,NO REPORT NEEDED
B16-38497,9/25/16,5:03 PM,September,Sunday,NOISE,1202 N LINCOLN ST,LB213,BPD,NO REPORT NEEDED
B16-38496,9/25/16,4:25 PM,September,Sunday,NOISE,200 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-38441,9/25/16,3:24 AM,September,Sunday,NOISE,506 S MULLER PKWY,LB404,BPD,NO REPORT NEEDED
B16-38432,9/25/16,1:39 AM,September,Sunday,NOISE,1311 N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-38425,9/25/16,12:52 AM,September,Sunday,NOISE,407 N DUNN ST,LB102,BPD,NO REPORT NEEDED
B16-38421,9/25/16,12:20 AM,September,Sunday,NOISE,2303 E 2ND ST; BART VILLA APARTMENTS 2,LB304,BPD,NO REPORT NEEDED
B16-38419,9/24/16,11:24 PM,September,Saturday,NOISE,1400 S GRANT ST,LB314,BPD,NO REPORT NEEDED
B16-38413,9/24/16,11:11 PM,September,Saturday,NOISE,557 S DOLIMAH AVE ; APT 30103,LB406,BPD,NO REPORT NEEDED
B16-38372,9/24/16,5:23 PM,September,Saturday,NOISE,308 W 14TH ST,LB519,BPD,NO REPORT NEEDED
B16-38337,9/24/16,1:28 PM,September,Saturday,NOISE,2000 E ATWATER AVE,LB303,BPD,NO REPORT NEEDED
B16-38328,9/24/16,11:10 AM,September,Saturday,NOISE,513 E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-38323,9/24/16,10:55 AM,September,Saturday,NOISE,N WASHINGTON ST & E 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-38296,9/24/16,4:17 AM,September,Saturday,NOISE,802 E HUNTER AVE,LB302,BPD,REPORT NEEDED
B16-38287,9/24/16,1:57 AM,September,Saturday,NOISE,605 W MARBLE LN,LB513,BPD,NO REPORT NEEDED
B16-38274,9/23/16,11:53 PM,September,Friday,NOISE,510 E COTTAGE GROVE AVE; THE 510 APARTMENTS,LB214,BPD,NO REPORT NEEDED
B16-38233,9/23/16,5:32 PM,September,Friday,NOISE,726 E HUNTER AVE,LB302,BPD,NO REPORT NEEDED
B16-38134,9/23/16,3:14 AM,September,Friday,NOISE,2432 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-38127,9/23/16,12:58 AM,September,Friday,NOISE,3209 E 10TH ST;O2,LB216,BPD,NO REPORT NEEDED
B16-38123,9/23/16,12:08 AM,September,Friday,NOISE,N GRANT ST & E 11TH ST,LB213,BPD,NO REPORT NEEDED
B16-38093,9/22/16,7:46 PM,September,Thursday,NOISE,900 W 1ST ST,LB409,BPD,NO REPORT NEEDED
B16-38028,9/22/16,12:38 PM,September,Thursday,NOISE,512 E 1ST ST,LB301,BPD,NO REPORT NEEDED
B16-37968,9/22/16,1:31 AM,September,Thursday,NOISE,2631 E 2ND ST;APT 11,LB304,BPD,NO REPORT NEEDED
B16-37967,9/22/16,1:27 AM,September,Thursday,NOISE,800 N SMITH RD; APT L 7,LB218,BPD,NO REPORT NEEDED
B16-37957,9/21/16,11:00 PM,September,Wednesday,NOISE,525 S PATTERSON DR; APT 4204,LB406,BPD,NO REPORT NEEDED
B16-37954,9/21/16,10:17 PM,September,Wednesday,NOISE,105 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-37843,9/21/16,9:18 AM,September,Wednesday,NOISE,2522 E SANDBERG CT,LB331,BPD,NO REPORT NEEDED
B16-37810,9/20/16,11:52 PM,September,Tuesday,NOISE,826 S EASTSIDE DR,LB303,BPD,NO REPORT NEEDED
B16-37798,9/20/16,8:58 PM,September,Tuesday,NOISE,1000 E ATWATER AVE,LB302,BPD,NO REPORT NEEDED
B16-37636,9/19/16,9:45 PM,September,Monday,NOISE,1732 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-37595,9/19/16,4:36 PM,September,Monday,NOISE,3400 S SARE RD; APT 1116,LB331,BPD,NO REPORT NEEDED
B16-37592,9/19/16,4:17 PM,September,Monday,NOISE,420 E 19TH ST; APT 11,LB212,BPD,NO REPORT NEEDED
B16-37497,9/19/16,1:38 AM,September,Monday,NOISE,106 E KIRKWOOD AVE; APT 203,LB104,BPD,NO REPORT NEEDED
B16-37375,9/18/16,2:55 AM,September,Sunday,NOISE,339 S LINCOLN ST; APT H,LB104,BPD,NO REPORT NEEDED
B16-37355,9/18/16,12:47 AM,September,Sunday,NOISE,1711 N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-37358,9/18/16,12:45 AM,September,Sunday,NOISE,504 S BASSWOOD DR ; APT F,LB404,BPD,NO REPORT NEEDED
B16-37360,9/18/16,12:22 AM,September,Sunday,NOISE,522 S MITCHELL ST,LB303,BPD,NO REPORT NEEDED
B16-37359,9/18/16,12:12 AM,September,Sunday,NOISE,S MITCHELL ST & E HUNTER AVE,LB303,BPD,NO REPORT NEEDED
B16-37356,9/18/16,12:08 AM,September,Sunday,NOISE,2036 N WALNUT ST; APT A 7  KNIGHTS LANDING,LB212,BPD,NO REPORT NEEDED
B16-37363,9/17/16,11:57 PM,September,Saturday,NOISE,930 S MAXWELL TER; APT F  MAXWELL TERRACE APARTMENTS,LB312,BPD,NO REPORT NEEDED
B16-37342,9/17/16,11:52 PM,September,Saturday,NOISE,N DUNN ST & E COTTAGE GROVE AVE,LB213,BPD,NO REPORT NEEDED
B16-37347,9/17/16,11:50 PM,September,Saturday,NOISE,2552 E EASTGATE LN,LB222,BPD,NO REPORT NEEDED
B16-37343,9/17/16,11:38 PM,September,Saturday,NOISE,409 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-37345,9/17/16,11:27 PM,September,Saturday,NOISE,3500 E MORNINGSIDE DR,LB220,BPD,NO REPORT NEEDED
B16-37332,9/17/16,10:50 PM,September,Saturday,NOISE,225 S HILLSDALE DR,LB222,BPD,NO REPORT NEEDED
B16-37327,9/17/16,10:18 PM,September,Saturday,NOISE,1307 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-37297,9/17/16,6:41 PM,September,Saturday,NOISE,1202 N LINCOLN ST,LB213,BPD,NO REPORT NEEDED
B16-37304,9/17/16,5:06 PM,September,Saturday,NOISE,864 S BASSWOOD DR; APT A,LB415,BPD,NO REPORT NEEDED
B16-37218,9/17/16,4:08 AM,September,Saturday,NOISE,3315 E LONGVIEW AVE; APT 63,LB221,BPD,NO REPORT NEEDED
B16-37212,9/17/16,3:09 AM,September,Saturday,NOISE,1150 S CLARIZZ BLVD; BUILDING B,LB310,BPD,NO REPORT NEEDED
B16-37206,9/17/16,1:55 AM,September,Saturday,NOISE,510 E COTTAGE GROVE AVE; THE 510 APARTMENTS; APT 1B,LB214,BPD,NO REPORT NEEDED
B16-37203,9/17/16,1:20 AM,September,Saturday,NOISE,415 N DUNN ST;APT 2,LB102,BPD,NO REPORT NEEDED
B16-37193,9/17/16,1:19 AM,September,Saturday,NOISE,1700 E ATWATER AVE,LB303,BPD,NO REPORT NEEDED
B16-37200,9/17/16,1:05 AM,September,Saturday,NOISE,1300 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-37198,9/17/16,1:02 AM,September,Saturday,NOISE,2635 E 2ND ST,LB304,BPD,NO REPORT NEEDED
B16-37191,9/17/16,12:38 AM,September,Saturday,NOISE,308 S MADISON ST,LB103,BPD,NO REPORT NEEDED
B16-37175,9/16/16,11:44 PM,September,Friday,NOISE,4534 E SHEFFIELD DR,LB219,BPD,NO REPORT NEEDED
B16-37177,9/16/16,11:34 PM,September,Friday,NOISE,315 S EASTSIDE DR,LB303,BPD,NO REPORT NEEDED
B16-37174,9/16/16,11:25 PM,September,Friday,NOISE,800 N SMITH RD; BLDG X7,LB218,BPD,NO REPORT NEEDED
B16-37172,9/16/16,11:08 PM,September,Friday,NOISE,1150 S CLARIZZ BLVD; BUILDING Q,LB310,BPD,NO REPORT NEEDED
B16-37166,9/16/16,11:05 PM,September,Friday,NOISE,924 S COPPER BEECH WAY,LB415,BPD,NO REPORT NEEDED
B16-37171,9/16/16,11:01 PM,September,Friday,NOISE,4534 E SHEFFIELD DR,LB219,BPD,NO REPORT NEEDED
B16-37168,9/16/16,10:57 PM,September,Friday,NOISE,4320 E HECTOR DR,LB218,BPD,NO REPORT NEEDED
B16-37126,9/16/16,4:33 PM,September,Friday,NOISE,3050 E AMY LN,LB221,BPD,NO REPORT NEEDED
B16-37033,9/16/16,6:52 AM,September,Friday,NOISE,619 W HOWE ST,LB409,BPD,NO REPORT NEEDED
B16-37024,9/16/16,4:15 AM,September,Friday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-37018,9/16/16,2:26 AM,September,Friday,NOISE,1600 N WILLIS DR; LOT 224,LB513,BPD,NO REPORT NEEDED
B16-37011,9/16/16,1:13 AM,September,Friday,NOISE,710 N MORTON ST,LB519,BPD,NO REPORT NEEDED
B16-37009,9/16/16,1:08 AM,September,Friday,NOISE,500 E COTTAGE GROVE AVE; ACROSS STREET,LB214,BPD,NO REPORT NEEDED
B16-36987,9/15/16,10:04 PM,September,Thursday,NOISE,1507 E HUNTER AVE,LB303,BPD,NO REPORT NEEDED
B16-36879,9/15/16,1:56 AM,September,Thursday,NOISE,108 E KIRKWOOD AVE; BUSKIRK CHUMLEY THEATRE,LB104,BPD,NO REPORT NEEDED
B16-36872,9/14/16,11:19 PM,September,Wednesday,NOISE,1732 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-36864,9/14/16,10:29 PM,September,Wednesday,NOISE,600 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-36846,9/14/16,7:28 PM,September,Wednesday,NOISE,202 S CLARK ST,LB222,BPD,NO REPORT NEEDED
B16-36814,9/14/16,2:02 PM,September,Wednesday,NOISE,1600 N WILLIS DR; LOT 119,LB513,BPD,NO REPORT NEEDED
B16-36765,9/14/16,7:43 AM,September,Wednesday,NOISE,412 E 2ND ST; APT 1 OR APT 2,LB301,BPD,NO REPORT NEEDED
B16-36757,9/14/16,4:08 AM,September,Wednesday,NOISE,2020 E 2ND ST,LB303,BPD,NO REPORT NEEDED
B16-36740,9/13/16,10:18 PM,September,Tuesday,NOISE,3115 E STRATUM WAY,LB310,BPD,NO REPORT NEEDED
B16-36427,9/11/16,7:31 PM,September,Sunday,NOISE,1119 S LONGWOOD DR,LB312,BPD,NO REPORT NEEDED
B16-36420,9/11/16,6:29 PM,September,Sunday,NOISE,415 N DUNN ST; UNIT 2,LB102,BPD,NO REPORT NEEDED
B16-36354,9/11/16,5:23 AM,September,Sunday,NOISE,3703 E BARRINGTON DR; APT 302,LB217,BPD,NO REPORT NEEDED
B16-36349,9/11/16,2:29 AM,September,Sunday,NOISE,415 N DUNN ST; APT 2,LB102,BPD,NO REPORT NEEDED
B16-36340,9/11/16,1:48 AM,September,Sunday,NOISE,S WALNUT ST & E 1ST ST,LB410,BPD,NO REPORT NEEDED
B16-36336,9/11/16,1:39 AM,September,Sunday,NOISE,S PARK AVE & E 2ND ST,LB302,BPD,NO REPORT NEEDED
B16-36335,9/11/16,1:26 AM,September,Sunday,NOISE,345 S COLLEGE AVE; MIDTOWN LOFTS; APT 407,LB103,BPD,NO REPORT NEEDED
B16-36329,9/11/16,12:34 AM,September,Sunday,NOISE,310 W 14TH ST,LB519,BPD,NO REPORT NEEDED
B16-36322,9/11/16,12:01 AM,September,Sunday,NOISE,W 14TH ST & N WOODBURN AVE,LB519,BPD,NO REPORT NEEDED
B16-36323,9/10/16,11:45 PM,September,Saturday,NOISE,710 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-36319,9/10/16,11:29 PM,September,Saturday,NOISE,501 E 1ST ST,LB301,BPD,NO REPORT NEEDED
B16-36318,9/10/16,11:19 PM,September,Saturday,NOISE,E 20TH ST & N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-36317,9/10/16,10:55 PM,September,Saturday,NOISE,430 N WASHINGTON ST; SHOWERS INN BED AND BREAKFAST,LB102,BPD,NO REPORT NEEDED
B16-36287,9/10/16,8:38 PM,September,Saturday,NOISE,319 E 20TH ST; STADIUM VIEW III APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-36274,9/10/16,8:05 PM,September,Saturday,NOISE,1400 W RCA PARK DR; RCA PARK PLAYGROUND; RCA COMMUNITY PARK,LB419,BPD,NO REPORT NEEDED
B16-36249,9/10/16,2:22 PM,September,Saturday,NOISE,212 N MORTON ST; APT 411,LB101,BPD,NO REPORT NEEDED
B16-36220,9/10/16,1:18 PM,September,Saturday,NOISE,S CLIFTON AVE & E ATWATER AVE,LB303,BPD,NO REPORT NEEDED
B16-36206,9/10/16,12:35 PM,September,Saturday,NOISE,E 10TH ST & N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-36208,9/10/16,11:58 AM,September,Saturday,NOISE,2995 S PINEWOOD LN; (DUPLEX ON RIGHT SIDE),LB433,BPD,NO REPORT NEEDED
B16-36192,9/10/16,10:20 AM,September,Saturday,NOISE,321 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-36154,9/10/16,1:02 AM,September,Saturday,NOISE,1601 S WALNUT ST,LB315,BPD,NO REPORT NEEDED
B16-36150,9/10/16,12:59 AM,September,Saturday,NOISE,510 E COTTAGE GROVE AVE; THE 510 APARTMENTS; APT 1B,LB214,BPD,NO REPORT NEEDED
B16-36143,9/10/16,12:23 AM,September,Saturday,NOISE,420 E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-36136,9/9/16,11:54 PM,September,Friday,NOISE,400 N DUNN ST,LB102,BPD,NO REPORT NEEDED
B16-36127,9/9/16,11:01 PM,September,Friday,NOISE,319 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-36121,9/9/16,10:36 PM,September,Friday,NOISE,817 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-35934,9/8/16,11:58 PM,September,Thursday,NOISE,521 S PARK AVE,LB302,BPD,NO REPORT NEEDED
B16-35924,9/8/16,11:42 PM,September,Thursday,NOISE,580 S PARK RIDGE RD; BLD 6202,LB307,BPD,NO REPORT NEEDED
B16-35921,9/8/16,11:01 PM,September,Thursday,NOISE,321 E 14TH ST; APT E10,LB213,BPD,NO REPORT NEEDED
B16-35894,9/8/16,7:17 PM,September,Thursday,NOISE,233 E BROWNSTONE DR,LB213,BPD,NO REPORT NEEDED
B16-35826,9/8/16,10:08 AM,September,Thursday,NOISE,524 N COLLEGE AVE; APT 405; MANORS AT 10 NORTH,LB101,BPD,NO REPORT NEEDED
B16-35800,9/8/16,3:34 AM,September,Thursday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-35786,9/7/16,11:56 PM,September,Wednesday,NOISE,3209 E 10TH ST; APT  F5,LB216,BPD,NO REPORT NEEDED
B16-35651,9/7/16,4:09 AM,September,Wednesday,NOISE,111 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-35628,9/6/16,10:34 PM,September,Tuesday,NOISE,345 S COLLEGE AVE; apt 305,LB103,BPD,NO REPORT NEEDED
B16-35475,9/5/16,10:28 PM,September,Monday,NOISE,S WOODLAWN AVE & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-35382,9/5/16,2:33 AM,September,Monday,NOISE,1119 N LINCOLN ST,LB213,BPD,NO REPORT NEEDED
B16-35368,9/5/16,1:14 AM,September,Monday,NOISE,1150 S CLARIZZ BLVD;APT  D115,LB310,BPD,NO REPORT NEEDED
B16-35367,9/5/16,12:40 AM,September,Monday,NOISE,1795 E MAXWELL LN,LB303,BPD,NO REPORT NEEDED
B16-35352,9/4/16,10:16 PM,September,Sunday,NOISE,1300 S DUNN ST,LB314,BPD,NO REPORT NEEDED
B16-35265,9/4/16,6:22 AM,September,Sunday,NOISE,311 E GLENDORA DR,LB209,BPD,NO REPORT NEEDED
B16-35261,9/4/16,4:29 AM,September,Sunday,NOISE,506 S MULLER PKWY,LB404,BPD,NO REPORT NEEDED
B16-35260,9/4/16,4:07 AM,September,Sunday,NOISE,1119 N LINCOLN ST,LB213,BPD,NO REPORT NEEDED
B16-35259,9/4/16,3:41 AM,September,Sunday,NOISE,1012 N LINDBERGH DR,LB517,BPD,NO REPORT NEEDED
B16-35258,9/4/16,2:55 AM,September,Sunday,NOISE,913 S MITCHELL ST,LB312,BPD,NO REPORT NEEDED
B16-35250,9/4/16,2:07 AM,September,Sunday,NOISE,913 S MITCHELL ST,LB312,BPD,NO REPORT NEEDED
B16-35249,9/4/16,1:45 AM,September,Sunday,NOISE,3209 E 10TH ST; APT F5,LB216,BPD,NO REPORT NEEDED
B16-35247,9/4/16,1:37 AM,September,Sunday,NOISE,810 E 11TH ST,LB214,BPD,NO REPORT NEEDED
B16-35236,9/4/16,12:28 AM,September,Sunday,NOISE,930 S MAXWELL TER; MAXWELL TERRACE APARTMENTS; APT F,LB312,BPD,NO REPORT NEEDED
B16-35235,9/4/16,12:20 AM,September,Sunday,NOISE,1600 N WILLIS DR; LOT 66,LB513,BPD,NO REPORT NEEDED
B16-35234,9/4/16,12:14 AM,September,Sunday,NOISE,301 E 20TH ST,LB212,BPD,NO REPORT NEEDED
B16-35230,9/3/16,11:41 PM,September,Saturday,NOISE,417 E 2ND ST,LB104,BPD,NO REPORT NEEDED
B16-35229,9/3/16,11:20 PM,September,Saturday,NOISE,1212 N GRANT ST; NORTHVIEW APARTMENTS,LB213,BPD,NO REPORT NEEDED
B16-35225,9/3/16,11:15 PM,September,Saturday,NOISE,510 E COTTAGE GROVE AVE,LB214,BPD,NO REPORT NEEDED
B16-35224,9/3/16,11:10 PM,September,Saturday,NOISE,321 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-35223,9/3/16,10:59 PM,September,Saturday,NOISE,E 19TH ST & N WASHINGTON ST,LB212,BPD,NO REPORT NEEDED
B16-35220,9/3/16,10:05 PM,September,Saturday,NOISE,413 S HENDERSON ST; APT 22,LB302,BPD,NO REPORT NEEDED
B16-35090,9/3/16,2:25 AM,September,Saturday,NOISE,2501 E CARGILL DR,LB318,BPD,NO REPORT NEEDED
